,STATE/UT,RAPE,KIDNAPPING,DOWRY,ASSAULT,INSULT,CRUELTY,TRAFFECKING
201,UTTARAKHAND,147,183,80,153,113,358,0
202,WEST BENGAL,1731,1199,445,1837,63,7414,1
203,A&N ISLANDS,6,5,0,14,4,7,0
204,CHANDIGARH,19,57,10,20,13,102,0
205,D&N HAVELI,6,14,1,5,1,5,0
206,DAMAN & DIU,3,1,0,2,0,2,0
207,DELHI,623,1066,137,718,144,1728,0
208,LAKSHADWEEP,0,0,0,0,0,1,0
209,PUDUCHERRY,9,13,3,56,39,19,0
210,ANDHRA PRADESH,1070,1564,613,4406,3316,11335,0
211,ARUNACHAL PRADESH,48,44,0,72,1,20,0
212,ASSAM,1437,1471,100,789,10,3000,0
213,BIHAR,1555,1260,1172,853,12,1635,56
214,CHHATTISGARH,982,181,100,1549,111,824,0
215,GOA,20,7,2,20,7,14,0
216,GUJARAT,316,1089,42,822,120,5827,0
217,HARYANA,488,554,269,417,409,2412,0
218,HIMACHAL PRADESH,159,150,8,322,33,342,0
219,JAMMU & KASHMIR,288,707,9,986,353,176,0
220,JHARKHAND,855,534,303,342,15,801,0
221,KARNATAKA,436,390,251,1828,28,2507,0
222,KERALA,512,177,27,2624,262,3999,0
223,MADHYA PRADESH,3010,701,742,6772,780,3294,0
224,MAHARASHTRA,1451,967,436,3306,1039,7356,0
225,MANIPUR,20,83,0,70,0,15,0
226,MEGHALAYA,82,22,2,45,1,19,0
227,MIZORAM,83,0,0,66,0,2,0
228,NAGALAND,13,6,0,8,1,0,0
229,ODISHA,939,660,461,2775,241,728,0
230,PUNJAB,519,545,133,427,48,971,0
231,RAJASTHAN,1238,1694,439,2477,28,8170,0
232,SIKKIM,24,9,0,13,0,7,0
233,TAMIL NADU,523,1097,208,1540,875,1976,0
234,TRIPURA,157,81,36,244,4,545,0
235,UTTAR PRADESH,1648,3363,2076,2522,2882,7650,0
236,UTTARAKHAND,117,227,70,146,63,463,0
237,WEST BENGAL,2106,1590,451,2281,99,9900,5
238,A&N ISLANDS,3,9,1,21,2,18,0
239,CHANDIGARH,22,46,1,32,11,112,0
240,D&N HAVELI,7,6,0,0,0,3,0
241,DAMAN & DIU,1,1,1,0,0,3,0
242,DELHI,598,1167,138,868,167,1787,0
243,LAKSHADWEEP,1,0,0,2,0,2,0
244,PUDUCHERRY,9,14,2,89,32,17,0
245,ANDHRA PRADESH,1257,1396,556,4730,3551,10306,0
246,ARUNACHAL PRADESH,42,47,0,72,1,13,0
247,ASSAM,1438,1789,103,1272,2,3478,0
248,BIHAR,1302,1789,1210,999,21,1992,22
249,CHHATTISGARH,978,216,106,1621,125,897,0
250,GOA,30,28,2,32,12,12,0
251,GUJARAT,374,1119,27,828,122,6094,0
252,HARYANA,631,644,302,435,605,2435,0
253,HIMACHAL PRADESH,157,137,3,295,41,343,0
254,JAMMU & KASHMIR,219,656,21,935,296,162,0
255,JHARKHAND,791,499,266,271,23,851,39
256,KARNATAKA,446,405,259,1954,44,2638,1
257,KERALA,568,166,31,2745,258,4138,0
